name,smiles,smarts,group,hierarchy
"1,3-difluorobenzene",c1ccc(F)cc1F,[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1-[#9],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"1,3-dimethoxybenzene",c1cc(OC)cc(OC)c1,[#6]1:[#6]:[#6](-[#8]-[#6]):[#6]:[#6](-[#8]-[#6]):[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"1,4-dimethylpiperazine",CN1CCN(C)CC1,[#6]-[#7]1-[#6]-[#6]-[#7](-[#6])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-(4-chlorophenyl)urea,NC(=O)Nc1ccc(Cl)cc1,[#7]-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-(piperidin-1-yl)ethan-1-one,C1CCN(C(C)=O)CC1,[#6]1-[#6]-[#6]-[#7](-[#6](-[#6])=[#8])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-(pyridin-2-yl)piperazine,N1CCN(c2ccccn2)CC1,[#7]1-[#6]-[#6]-[#7](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#7]:2)-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-Acetylpiperazine,N1CCN(C(C)=O)CC1,[#7]1-[#6]-[#6]-[#7](-[#6](-[#6])=[#8])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-chloro-2-methylbenzene,Cc1ccccc1Cl,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#17],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-chloro-3-methylbenzene,Cc1cccc(Cl)c1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#17]):[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-chloro-4-hydrosulfonylbenzene,S(=O)(=O)c1ccc(Cl)cc1,[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-chloro-4-methylbenzene,Cc1ccc(Cl)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-cyclohexylurea,NC(=O)NC1CCCCC1,[#7]-[#6](=[#8])-[#7]-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-ethyl-2-methylpyrrolidine,CCN1CCCC1C,[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-ethylpiperazine,N1CCN(CC)CC1,[#7]1-[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-ethylpiperidine,CCN1CCCCC1,[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-ethylpyrrolidine,CCN1CCCC1,[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-ethylurea,NC(=O)NCC,[#7]-[#6](=[#8])-[#7]-[#6]-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-fluoro-2-methoxybenzene,c1ccc(OC)c(F)c1,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6](-[#9]):[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-fluoro-3-methylbenzene,Cc1cccc(F)c1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#9]):[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-fluoro-4-methylbenzene,Cc1ccc(F)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methoxy-2-methylbenzene,Cc1ccccc1OC,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8]-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methoxy-3-methylbenzene,Cc1cccc(OC)c1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methoxy-4-methylbenzene,Cc1ccc(OC)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"1-methyl-1,4-diazepane",N1CCCN(C)CC1,[#7]1-[#6]-[#6]-[#6]-[#7](-[#6])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"1-methyl-1H-1,2,4-triazole",Cn1cncn1,[#6]-[#7]1:[#6]:[#7]:[#6]:[#7]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methyl-1H-imidazole,Cn1ccnc1,[#6]-[#7]1:[#6]:[#6]:[#7]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methyl-1H-pyrazole,c1cnn(C)c1,[#6]1:[#6]:[#7]:[#7](-[#6]):[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methyl-4-(trifluoromethyl)benzene,Cc1ccc(C(F)(F)F)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6](-[#9])(-[#9])-[#9]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methylpiperazine,N1CCN(C)CC1,[#7]1-[#6]-[#6]-[#7](-[#6])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methylpiperidin-4-ol,OC1CCN(C)CC1,[#8]-[#6]1-[#6]-[#6]-[#7](-[#6])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methylpiperidine,CN1CCCCC1,[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-methylpyrrolidine,CN1CCCC1,[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-phenylpiperazine,N1CCN(c2ccccc2)CC1,[#7]1-[#6]-[#6]-[#7](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-phenylthiourea,NC(=S)Nc1ccccc1,[#7]-[#6](=[#16])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1-phenylurea,NC(=O)Nc1ccccc1,[#7]-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"1H-1,2,4-triazole",n1cncn1,,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1H-benzo[d]imidazole-5-carboxamide,c1nc2cc(C(N)=O)ccc2[nH]1,[#6]1:[#7]:[#6]2:[#6]:[#6](-[#6](-[#7])=[#8]):[#6]:[#6]:[#6]:2:[#7H]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1H-benzoimidazole,c1nc2ccccc2[nH]1,[#6]1:[#7]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1H-pyrazole,c1cn[nH]c1,[#6]1:[#6]:[#7]:[#7H]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"1H-pyrrole-2,5-dione",N1C(=O)C=CC1=O,[#7]1-[#6](=[#8])-[#6]=[#6]-[#6]-1=[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
1﻿H-imidazole,n1ccnc1,,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"2,2,2-trifluoroacetaldehyde",C(=O)C(F)(F)F,[#6](=[#8])-[#6](-[#9])(-[#9])-[#9],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"2,2,2-trifluoroethan-1-ol",OCC(F)(F)F,[#8]-[#6]-[#6](-[#9])(-[#9])-[#9],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"2,3-dihydrobenzo[b][1,4]dioxine",c1ccc2c(c1)OCCO2,[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#8]-[#6]-[#6]-[#8]-2,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-(diethylamino)ethan-1-ol,OCCN(CC)CC,[#8]-[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-(dimethylamino)ethan-1-ol,OCCN(C)C,[#8]-[#6]-[#6]-[#7](-[#6])-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-(methylamino)ethan-1-ol,CNCCO,[#6]-[#7]-[#6]-[#6]-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-(piperazin-1-yl)ethan-1-ol,N1CCN(CCO)CC1,[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-[#8])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-(piperidin-1-yl)ethan-1-ol,OCCN1CCCCC1,[#8]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-(pyrrolidin-1-yl)ethan-1-ol,OCCN1CCCC1,[#8]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-(trifluoromethyl)pyridine,c1ccc(C(F)(F)F)nc1,[#6]1:[#6]:[#6]:[#6](-[#6](-[#9])(-[#9])-[#9]):[#7]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-aminobenzamide,Nc1ccccc1C(N)=O,[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6](-[#7])=[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-aminoethan-1-ol,NCCO,[#7]-[#6]-[#6]-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-chloropyridine,c1ccc(Cl)nc1,[#6]1:[#6]:[#6]:[#6](-[#17]):[#7]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-chlorothiophene,c1ccc(Cl)s1,[#6]1:[#6]:[#6]:[#6](-[#17]):[#16]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-ethylidenehydrazine-1-carbothioamide,C(C)=NNC(N)=S,[#6](-[#6])=[#7]-[#7]-[#6](-[#7])=[#16],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-ethynylpyridine,C#Cc1ccccn1,[#6]#[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#7]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-fluoroethan-1-ol,OCCF,[#8]-[#6]-[#6]-[#9],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-hydroxy-4-oxobut-2-enoic acid,C(=O)C=C(O)C(=O)O,[#6](=[#8])-[#6]=[#6](-[#8])-[#6](=[#8])-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-hydroxyacetic acid,OCC(=O)O,[#8]-[#6]-[#6](=[#8])-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-isopropoxypyridine,c1ccc(OC(C)C)nc1,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6](-[#6])-[#6]):[#7]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methoxyethan-1-amine,NCCOC,[#7]-[#6]-[#6]-[#8]-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methoxyethan-1-ol,OCCOC,[#8]-[#6]-[#6]-[#8]-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methoxypyridine,c1ccc(OC)nc1,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#7]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"2-methyl-1,3,4-oxadiazole",c1nnc(C)o1,[#6]1:[#7]:[#7]:[#6](-[#6]):[#8]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methyl-1H-imidazole,n1ccnc1C,,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"2-methylisoindoline-1,3-dione",CN1C(=O)c2ccccc2C1=O,[#6]-[#7]1-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6]-1=[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methylnaphthalene,Cc1ccc2ccccc2c1,[#6]-[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methylpropan-1-ol,C(C)(C)CO,[#6](-[#6])(-[#6])-[#6]-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methylpropan-2-amine,NC(C)(C)C,[#7]-[#6](-[#6])(-[#6])-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methylpropan-2-ol,OC(C)(C)C,[#8]-[#6](-[#6])(-[#6])-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methylpyridine,Cc1ccccn1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#7]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methyltetrahydrofuran,CC1CCCO1,[#6]-[#6]1-[#6]-[#6]-[#6]-[#8]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methylthiazole,c1csc(C)n1,[#6]1:[#6]:[#16]:[#6](-[#6]):[#7]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-methylthiophene,Cc1cccs1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#16]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-morpholinoethan-1-amine,NCCN1CCOCC1,[#7]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-morpholinoethan-1-ol,OCCN1CCOCC1,[#8]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-phenylacetamide,NC(=O)Cc1ccccc1,[#7]-[#6](=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-phenylethan-1-amine,NCCc1ccccc1,[#7]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2-phenylethan-1-ol,OCCc1ccccc1,[#8]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
2H-tetrazole,c1nn[nH]n1,[#6]1:[#7]:[#7]:[#7H]:[#7]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"3,4-dimethyl-1H-pyrazole-5-carboxylic acid",Cc1c(C)n[nH]c1C(=O)O,[#6]-[#6]1:[#6](-[#6]):[#7]:[#7H]:[#6]:1-[#6](=[#8])-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"3,5-dimethylisoxazole",c1c(C)noc1C,[#6]1:[#6](-[#6]):[#7]:[#8]:[#6]:1-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-(dimethylamino)propan-1-ol,OCCCN(C)C,[#8]-[#6]-[#6]-[#6]-[#7](-[#6])-[#6],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-(piperidin-1-yl)propan-1-ol,OCCCN1CCCCC1,[#8]-[#6]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-(pyrrolidin-1-yl)propan-1-ol,OCCCN1CCCC1,[#8]-[#6]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-(trifluoromethyl)pyridine,c1ncccc1C(F)(F)F,[#6]1:[#7]:[#6]:[#6]:[#6]:[#6]:1-[#6](-[#9])(-[#9])-[#9],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-aminopropan-1-ol,NCCCO,[#7]-[#6]-[#6]-[#6]-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-chlorophenol,Oc1cccc(Cl)c1,[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#17]):[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-ethynylpyridine,C#Cc1cccnc1,[#6]#[#6]-[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-fluoropyridine,c1ccc(F)cn1,[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#7]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-methoxypyridine,c1cncc(OC)c1,[#6]1:[#6]:[#7]:[#6]:[#6](-[#8]-[#6]):[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-methylpyridine,Cc1cccnc1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
3-morpholinopropan-1-ol,OCCCN1CCOCC1,[#8]-[#6]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"4,4,5,5-tetramethyl-1,3,2-dioxaborolane",B1OC(C)(C)C(C)(C)O1,[#5]1-[#8]-[#6](-[#6])(-[#6])-[#6](-[#6])(-[#6])-[#8]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"4,5-dihydro-1H-imidazole",C1=NCCN1,[#6]1=[#7]-[#6]-[#6]-[#7]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"4,5-dihydrooxazol-2-amine",C1COC(N)=N1,[#6]1-[#6]-[#8]-[#6](-[#7])=[#7]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-(pyrrolidin-1-yl)piperidine,N1CCC(N2CCCC2)CC1,[#7]1-[#6]-[#6]-[#6](-[#7]2-[#6]-[#6]-[#6]-[#6]-2)-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-(trifluoromethyl)pyrimidine,c1nccc(C(F)(F)F)n1,[#6]1:[#7]:[#6]:[#6]:[#6](-[#6](-[#9])(-[#9])-[#9]):[#7]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-chloroaniline,Nc1ccc(Cl)cc1,[#7]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-chlorobenzaldehyde,C(=O)c1ccc(Cl)cc1,[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
"4-chlorobenzene-1,2-diol",Oc1ccc(Cl)cc1O,[#8]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-chlorophenol,Oc1ccc(Cl)cc1,[#8]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-ethylmorpholine,CCN1CCOCC1,[#6]-[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-fluoroaniline,Nc1ccc(F)cc1,[#7]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-fluorobenzaldehyde,C(=O)c1ccc(F)cc1,[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-fluorophenol,Oc1ccc(F)cc1,[#8]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-hydrosulfonylmorpholine,S(=O)(=O)N1CCOCC1,[#16](=[#8])(=[#8])-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-hydroxy-2-oxobut-3-enoic acid,C(O)=CC(=O)C(=O)O,[#6](-[#8])=[#6]-[#6](=[#8])-[#6](=[#8])-[#8],common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methoxyaniline,Nc1ccc(OC)cc1,[#7]-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methoxybenzaldehyde,C(=O)c1ccc(OC)cc1,[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methoxybenzamide,NC(=O)c1ccc(OC)cc1,[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methoxyphenol,Oc1ccc(OC)cc1,[#8]-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methoxypiperidine,N1CCC(OC)CC1,[#7]1-[#6]-[#6]-[#6](-[#8]-[#6])-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methyl-1H-imidazole,Cc1c[nH]cn1,[#6]-[#6]1:[#6]:[#7H]:[#6]:[#7]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methylbenzaldehyde,C(=O)c1ccc(C)cc1,[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methylbenzenesulfonamide,NS(=O)(=O)c1ccc(C)cc1,[#7]-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
4-methylmorpholine,CN1CCOCC1,[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1,common_rgroup_replacements,medicinal_chemistry.scaffolds.common_r_group_replacements.common_rgroup_replacements
